18CTT1
Dinh Ba Tien
1,18125000,Anh,Nguyen Thi,1,3/4/2000,123719372,default,18CTT1
CS161,2019-2020,Semester 1,9,7.9,9.5,8.9
MTH23,2019-2020,Semester 1,8.1,8.8,9.4,8.8
PH211,2019-2020,Semester 1,7.3,7.5,6.4,7
BAA00003,2019-2020,Semester 1,7.2,7.8,8.4,7.9
CA2208,2020-2021,Semester 1,9.9,6.9,8.9,8.6
AR33,2020-2021,Semester 3,7.4,9.6,8.1,8.3
>
2,18125034,Bao,Nguyen Quoc,0,12/4/2000,142112,default,18CTT1
CS161,2019-2020,Semester 1,9.4,8.3,8.1,8.6
MTH23,2019-2020,Semester 1,7.7,8.7,9.8,8.8
PH211,2019-2020,Semester 1,7.7,7,6.1,6.9
BAA00003,2019-2020,Semester 1,7.3,9.3,6.2,7.5
CA2208,2020-2021,Semester 1,10,7.3,8.8,8.7
AR33,2020-2021,Semester 3,9.2,9.3,9.2,9.2
>
3,18125012,Chau,Ngo Bao,0,18/5/2000,1421241412,default,18CTT1
CS161,2019-2020,Semester 1,7.5,6.3,9.8,8.1
MTH23,2019-2020,Semester 1,9.9,7.3,10,9.2
PH211,2019-2020,Semester 1,8.9,9.5,6.2,8
BAA00003,2019-2020,Semester 1,9.5,6.6,8.7,8.3
AR33,2020-2021,Semester 3,9.2,8,8.2,8.4
>
4,18125045,Dung,Nguyen Tien,0,26/1/2000,124142421,default,18CTT1
CS161,2019-2020,Semester 1,8.6,6.7,5.5,6.8
MTH23,2019-2020,Semester 1,4.5,4.3,5,4.6
PH211,2019-2020,Semester 1,6,7.6,8,7.3
BAA00003,2019-2020,Semester 1,7.6,6,4,5.7
>
5,18125078,En,Tran Huong,1,23/7/2000,354545435,default,18CTT1
CS161,2019-2020,Semester 1,7,6.7,5.5,6.3
MTH23,2019-2020,Semester 1,4.5,4.3,5,4.6
PH211,2019-2020,Semester 1,6,7.6,8,7.3
BAA00003,2019-2020,Semester 1,7.6,6,4,5.7
>
6,18125099,Giang,Nguyen Thu,0,13/3/2000,3543543,default,18CTT1
CS161,2019-2020,Semester 1,9,6.7,5.5,6.9
MTH23,2019-2020,Semester 1,4.5,4.3,5,4.6
PH211,2019-2020,Semester 1,6,7.6,8,7.3
BAA00003,2019-2020,Semester 1,7.6,6,4,5.7
>
7,18121400,Huong,Nguyen Thu,0,12/12/2000,357654564,default,18CTT1
CS161,2019-2020,Semester 1,8.3,8.9,9.6,9
MTH23,2019-2020,Semester 1,7.4,9.5,7,7.9
PH211,2019-2020,Semester 1,10,7.5,8.5,8.7
BAA00003,2019-2020,Semester 1,7.5,9.4,8.9,8.6
>
8,2,Binh,Nguyen Van,1,3/2/3000,23235802,,18CTT1
>
*
19CLC3
Nguyen Thien Thu
1,19125005,Triet,Phan Minh,0,4/9/2001,12345678,default,19CLC3
CM101,2019-2020,Semester 1,7.3,6.6,7.6,7.2
CM102,2019-2020,Semester 1,9,9.1,7.6,8.5
ML204,2019-2020,Semester 1,7.1,7.9,8.2,7.8
PL324,2019-2020,Semester 1,7.3,9.7,9.2,8.8
CA2208,2020-2021,Semester 1,7.8,7,9.5,8.2
>
2,19765999,Minh,Phan Quang Nhat,0,1/2/2000,48775654,default,19CLC3
CM101,2019-2020,Semester 1,8.7,6.5,8.2,7.8
CM102,2019-2020,Semester 1,6.3,8.6,7.8,7.6
ML204,2019-2020,Semester 1,9.9,9.7,6.3,8.4
PL324,2019-2020,Semester 1,6.5,8.4,7.4,7.4
>
3,19112000,Khiem,Tran Trung,0,5/4/2001,55511111,default,19CLC3
CM101,2019-2020,Semester 1,8,8.9,6.9,7.8
CM102,2019-2020,Semester 1,7.8,10,6.7,8
ML204,2019-2020,Semester 1,9.8,7,8.1,8.3
PL324,2019-2020,Semester 1,6.9,7.7,6.7,7.1
AI304,2020-2021,Semester 2,8.5,8.3,9.3,8.8
HO2002,2020-2021,Semester 2,9.2,7.7,8.8,8.6
LO241,2020-2021,Semester 2,9.9,6.3,9.4,8.6
COC2031,2020-2021,Semester 2,8.1,7,7.8,7.7
THK2031,2020-2021,Semester 2,8.2,8.9,7.5,8.1
>
4,19125041,Nguyen,Nguyen Kiem,1,7/7/2001,11111111,default,19CLC3
CM101,2019-2020,Semester 1,7.4,8.4,9.1,8.4
CM102,2019-2020,Semester 1,7.1,9.8,9.3,8.8
ML204,2019-2020,Semester 1,8.7,9.7,8.4,8.9
PL324,2019-2020,Semester 1,7,7.8,8.5,7.8
AI304,2020-2021,Semester 2,8.4,8.2,6.8,7.7
HO2002,2020-2021,Semester 2,8.1,7.7,6.5,7.3
LO241,2020-2021,Semester 2,7.4,8.7,8.6,8.3
