18CTT1
Dinh Ba Tien
1,1812000,Anh,Nguyen Thi,1,3/4/2000,123719372,default,18CTT1
2,1812034,Bao,Nguyen Quoc,0,12/4/2000,142112,default,18CTT1
3,1812012,Chau,Ngo Bao,0,18/5/2000,1421241412,default,18CTT1
4,1812045,Dung,Nguyen Tien,0,26/1/2000,124142421,default,18CTT1
5,1812078,En,Tran Huong,1,23/7/2000,354545435,default,18CTT1
6,1812099,Giang,Nguyen Thu,0,13/3/2000,3543543,default,18CTT1
7,1812100,Huong,Nguyen Thu,0,12/12/2000,357654564,default,18CTT1
*
19CLC3
Nguyen Thien Thu
1,19125005,Triet,Phan Minh,0,4/9/2001,12345678,default,19CLC3
2,19765999,Minh,Phan Quang Nhat,0,1/2/2000,48775654,default,19CLC3
3,19112000,Khiem,Tran Trung,0,5/4/2001,55511111,default,19CLC3
4,19125041,Nguyen,Kiem,1,7/7/2001,11111111,default,19CLC3
5,19125159,E,Ro,0,1/12/2001,22222222,default,19CLC3
6,19125152,Xuan,Nhat,1,2/4/2001,33333333,default,19CLC3
*
20HOH1
Tran Van Chien
1,20125030,Triet,Phan Minh,0,4/9/2002,02585933,default,20HOH1
2,20834208,Van,Nguyen Tien,0,3/2/2001,90889839,default,20HOH1
3,20039491,Hung,Pham Hoang Nhat,0,2/2/2002,23908029,default,20HOH1
4,20284030,Khanh,Do Van,1,3/11/2002,23891203,default,20HOH1
5,20329340,Phuong,Dinh Bich,1,3/9/2002,21318239,default,20HOH1
*
21APCS1
Ho Tuan Thanh
1,21125034,Binh,Nguyen Truc Nhu,1,3/5/2003,2317321,default,21APCS1
2,21125013,Khang,Vo Hoang Phuc,0,30/11/2003,214434123,default,21APCS1
3,21215017,Ly,Nguyen Thanh Thao,1,12/11/2003,123132,default,21APCS1
*
